Conc (mg/L),Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10
0.00,0.0062,0.0060,0.0057,0.0057,0.0054,0.0055,0.0055,0.0053,0.0055,0.0054
0.03,0.0134,0.0131,0.0124,0.0123,0.0118,0.0121,0.0121,0.0115,0.0121,0.0118
0.10,0.0302,0.0294,0.0280,0.0279,0.0267,0.0273,0.0273,0.0261,0.0275,0.0268
0.20,0.0792,0.0778,0.0753,0.0751,0.0730,0.0741,0.0741,0.0719,0.0745,0.0732
0.40,0.1022,0.0996,0.0949,0.0945,0.0906,0.0927,0.0927,0.0885,0.0935,0.0910
0.80,0.1982,0.1932,0.1841,0.1833,0.1758,0.1799,0.1799,0.1717,0.1815,0.1766
1.60,0.3902,0.3804,0.3625,0.3609,0.3462,0.3543,0.3543,0.3381,0.3575,0.3478
3.20,0.7742,0.7548,0.7193,0.7161,0.6870,0.7031,0.7031,0.6709,0.7095,0.6902
3.75,0.9062,0.8835,0.8420,0.8382,0.8042,0.8230,0.8230,0.7853,0.8305,0.8079
4.00,0.9662,0.9420,0.8977,0.8937,0.8574,0.8775,0.8775,0.8373,0.8855,0.8614
